city,locality,bhk,area,bathrooms,floor,total_floors,property_age,parking,lift,balcony,security,gym,swimming_pool,garden,power_backup,furnishing,price
Pune,Hinjewadi,2,689,2,8,10,1,True,True,True,True,True,False,True,True,Unfurnished,5540062.511345927
Pune,Kothrud,1,547,1,8,10,8,True,True,True,True,True,False,True,False,Semi-Furnished,4501346.768898278
Mumbai,Borivali,1,421,1,6,15,16,True,True,False,True,True,True,False,True,Unfurnished,6508078.905479122
Pune,Kothrud,2,753,2,5,10,30,True,True,True,True,True,False,False,True,Unfurnished,4665136.745732166
Delhi,Saket,2,1051,2,2,15,0,True,True,True,True,True,False,False,True,Semi-Furnished,17756526.86245643
Mumbai,Powai,2,735,2,2,15,19,True,True,True,True,True,False,False,False,Semi-Furnished,13004440.557997808
Pune,Hinjewadi,3,1687,2,18,40,24,True,True,True,True,False,False,True,True,Fully Furnished,11400818.085496096
Delhi,Saket,2,1094,2,10,10,2,True,True,True,True,True,True,True,True,Semi-Furnished,17261350.968427345
Delhi,Dwarka,2,1231,1,2,4,17,True,False,True,True,False,False,False,True,Unfurnished,12454464.509856729
Bangalore,Indiranagar,3,1723,2,9,10,11,True,True,True,True,False,True,True,True,Unfurnished,21592912.287799757
Mumbai,Andheri,2,822,1,5,15,9,True,False,True,True,True,True,True,True,Unfurnished,16718432.997470427
Hyderabad,Gachibowli,2,1068,2,36,40,14,True,True,True,True,True,True,True,True,Semi-Furnished,9143975.378562493
Mumbai,Powai,4,2367,5,2,10,15,True,True,True,True,True,False,True,False,Unfurnished,43804830.832500525
Pune,Hinjewadi,3,1342,3,8,10,8,True,True,True,True,True,False,True,True,Semi-Furnished,9445774.520706011
Delhi,Dwarka,2,955,2,1,4,13,True,False,True,True,True,True,True,False,Unfurnished,11207571.896211239
Bangalore,Indiranagar,3,1578,2,11,15,16,False,True,True,True,True,True,True,True,Semi-Furnished,19313245.176566865
Hyderabad,Madhapur,2,910,2,5,10,11,True,True,True,True,True,True,True,True,Unfurnished,8567145.48120491
Mumbai,Andheri,4,1877,4,19,25,24,True,True,True,True,True,False,True,True,Semi-Furnished,28181670.7670558
Delhi,Vasant Kunj,5,4046,4,8,10,12,False,True,True,True,True,True,True,True,Semi-Furnished,64295769.27033891
Pune,Kothrud,2,1112,1,6,10,21,True,True,False,True,True,False,True,True,Semi-Furnished,8233425.609067875
Hyderabad,Kukatpally,3,1754,3,7,25,14,True,True,True,True,True,True,False,True,Semi-Furnished,12536966.316994572
Delhi,Dwarka,2,1770,2,1,4,17,True,True,True,True,False,False,True,False,Fully Furnished,20065897.845767837
Bangalore,HSR Layout,2,936,2,10,10,3,True,True,False,True,False,False,False,True,Fully Furnished,11640582.307730185
Delhi,Rohini,3,1528,2,11,15,5,True,True,True,True,True,False,True,True,Unfurnished,14812262.817026068
Bangalore,HSR Layout,2,1137,1,2,25,6,True,True,False,True,False,False,False,True,Fully Furnished,12289593.177980779
Bangalore,Indiranagar,3,1926,3,15,25,11,True,True,True,True,False,False,True,True,Unfurnished,22806811.428706657
Hyderabad,Kukatpally,3,1380,3,22,25,10,False,True,True,True,False,False,True,True,Semi-Furnished,9091477.863789212
Delhi,Vasant Kunj,3,1404,3,2,10,16,True,True,True,True,True,True,True,True,Semi-Furnished,23147283.496085174
Pune,Hinjewadi,2,594,2,3,10,4,True,True,False,True,True,False,True,True,Unfurnished,4363278.0842740955
Delhi,Dwarka,3,1855,2,5,10,23,True,True,True,True,True,False,True,True,Fully Furnished,18095127.9269697
Bangalore,HSR Layout,3,1457,2,4,4,24,True,False,False,True,False,False,True,True,Semi-Furnished,13417801.027346237
Mumbai,Borivali,3,1721,3,15,40,23,True,True,True,True,False,False,False,False,Semi-Furnished,23024482.6373958
Mumbai,Powai,3,1144,2,3,4,20,True,True,True,True,True,True,False,False,Semi-Furnished,20424364.628778175
Delhi,Vasant Kunj,2,858,1,16,25,24,False,True,False,True,True,True,False,True,Semi-Furnished,10581810.65196318
Pune,Viman Nagar,1,300,1,5,10,7,False,True,True,True,True,False,False,True,Unfurnished,2637848.1794412527
Mumbai,Powai,4,1876,4,2,10,20,True,True,True,True,True,True,True,False,Unfurnished,32217125.060925134
Bangalore,Whitefield,2,1288,1,9,10,19,True,True,True,True,True,False,True,False,Unfurnished,10414173.76126237
Delhi,Vasant Kunj,2,1002,1,24,40,10,True,True,True,False,True,True,True,True,Fully Furnished,18168559.927485585
Pune,Kothrud,3,1634,3,10,15,22,False,True,True,False,False,True,False,True,Semi-Furnished,12020091.147205057
Bangalore,Indiranagar,3,1228,3,20,25,10,True,True,True,True,True,True,False,True,Unfurnished,16390100.54453406
Bangalore,Indiranagar,1,528,1,3,10,8,False,True,True,True,False,False,True,True,Fully Furnished,7622582.357915808
Mumbai,Powai,2,901,1,4,40,7,False,True,True,True,False,False,False,True,Unfurnished,18803923.94383658
Bangalore,Indiranagar,3,1869,3,12,15,16,True,False,True,True,False,True,False,False,Semi-Furnished,22436033.11417522
Hyderabad,Gachibowli,2,1125,2,14,25,4,True,True,True,True,True,False,True,True,Fully Furnished,11213388.334398726
Mumbai,Bandra,3,1593,3,1,4,20,True,False,True,True,False,False,False,True,Fully Furnished,39722050.854341604
Pune,Kothrud,4,2204,4,6,15,6,True,True,True,True,False,True,False,True,Unfurnished,20544101.723013297
Bangalore,HSR Layout,3,1991,3,40,40,15,True,True,True,False,False,True,True,True,Semi-Furnished,21561214.37505988
Delhi,Rohini,1,468,1,19,25,5,False,True,True,False,True,False,True,True,Unfurnished,4753681.2366215475
Delhi,Rohini,3,1629,3,2,15,3,False,True,True,True,True,False,True,True,Semi-Furnished,15056299.608035393
Bangalore,Koramangala,2,1418,2,4,4,0,True,False,True,False,True,True,False,True,Semi-Furnished,21441277.25541946
Delhi,Rohini,1,562,1,7,10,9,True,True,True,True,False,False,True,False,Unfurnished,4466936.139489899
Mumbai,Borivali,4,2051,2,19,25,24,True,True,True,True,True,False,True,False,Semi-Furnished,29551535.154574618
Delhi,Dwarka,2,834,1,4,4,13,True,False,True,True,True,True,True,True,Unfurnished,9388412.277805593
Hyderabad,Gachibowli,4,2218,3,3,10,11,True,True,True,True,False,False,True,True,Semi-Furnished,18465267.376318596
Hyderabad,Kukatpally,3,1458,3,21,25,0,True,True,False,True,True,True,True,True,Unfurnished,11961809.410502514
Mumbai,Powai,2,718,1,8,10,20,True,True,True,True,False,True,False,True,Semi-Furnished,13032049.545160033
Mumbai,Borivali,4,2655,4,4,15,16,True,True,True,True,True,False,True,True,Semi-Furnished,35763264.99283625
Bangalore,Koramangala,2,968,1,8,10,9,True,True,True,False,True,False,False,True,Semi-Furnished,12273230.063846495
Delhi,Dwarka,2,1064,1,7,15,14,True,True,True,False,False,True,False,True,Semi-Furnished,12933739.797408603
Pune,Hinjewadi,2,1306,1,20,40,3,True,True,True,True,False,False,False,False,Unfurnished,10397443.32528956
Pune,Viman Nagar,1,522,1,4,10,10,True,True,True,False,True,True,False,True,Semi-Furnished,5609495.9791445695
Hyderabad,Banjara Hills,3,1368,4,20,25,13,True,True,True,True,False,False,True,True,Semi-Furnished,15918316.02105131
Bangalore,HSR Layout,3,2245,2,15,25,16,True,True,False,True,False,True,False,True,Semi-Furnished,21302507.13007135
Delhi,Saket,2,1036,1,3,10,17,False,True,True,True,False,False,False,True,Fully Furnished,14137737.684374414
Mumbai,Powai,1,416,1,4,4,0,False,True,True,False,True,False,True,True,Unfurnished,9400882.333809594
Hyderabad,Madhapur,2,894,1,24,40,12,True,True,True,True,True,True,True,False,Semi-Furnished,8662810.961336069
Bangalore,HSR Layout,2,820,2,1,4,0,True,True,True,False,False,False,False,True,Unfurnished,9934515.392333794
Bangalore,HSR Layout,3,2149,2,2,15,7,True,True,True,True,True,True,True,True,Semi-Furnished,26375648.5792642
Bangalore,HSR Layout,2,657,2,9,15,9,False,True,True,True,False,False,True,True,Semi-Furnished,6657470.112737013
Delhi,Rohini,3,1971,2,2,10,9,True,True,True,True,False,True,True,True,Fully Furnished,21388808.796296958
Bangalore,HSR Layout,5,4004,5,3,10,6,False,True,True,True,True,True,True,True,Fully Furnished,47176046.74674618
Hyderabad,Kukatpally,5,4498,4,5,15,14,True,True,True,True,True,False,True,True,Semi-Furnished,30207435.069128796
Pune,Baner,3,1139,3,3,10,12,True,True,False,True,False,False,True,True,Fully Furnished,9276889.755908586
Hyderabad,Madhapur,2,850,2,3,4,22,True,False,True,True,True,True,False,True,Fully Furnished,7601505.1037048185
Delhi,Dwarka,1,706,1,6,15,8,False,True,True,True,False,False,True,True,Unfurnished,6835233.420396059
Delhi,Rohini,2,1194,2,10,15,17,True,True,True,True,True,True,True,True,Unfurnished,9775839.994477341
Mumbai,Bandra,3,1917,2,7,10,0,False,True,True,True,True,False,False,False,Unfurnished,58427747.81589039
Bangalore,Koramangala,2,592,2,15,25,0,False,True,False,False,False,False,False,True,Unfurnished,7886869.119048049
Bangalore,Whitefield,3,2088,2,2,15,0,False,True,True,True,True,False,True,False,Unfurnished,18846039.494809896
Mumbai,Bandra,2,988,1,31,40,13,True,True,True,True,False,False,True,True,Semi-Furnished,26659215.323931452
Hyderabad,Gachibowli,3,1208,3,1,4,12,False,False,True,True,False,True,False,True,Unfurnished,8246469.890757193
Mumbai,Powai,2,812,2,18,40,7,True,True,True,True,True,False,True,True,Semi-Furnished,18795258.17236893
Hyderabad,Madhapur,3,1304,3,14,15,5,False,True,False,True,True,True,False,True,Unfurnished,10971748.839079494
Hyderabad,Madhapur,3,1362,2,4,10,8,False,True,True,True,True,False,True,True,Semi-Furnished,11421483.524370259
Delhi,Rohini,3,2189,3,13,25,4,True,True,True,True,True,True,True,True,Unfurnished,23774167.57246788
Pune,Baner,2,1042,2,6,25,5,False,True,True,True,True,False,True,False,Semi-Furnished,8744432.494179824
Mumbai,Borivali,2,893,1,14,40,7,True,True,True,True,False,False,True,True,Unfurnished,14026665.95805842
Bangalore,Indiranagar,3,909,2,12,25,0,True,True,True,True,True,True,True,True,Fully Furnished,15755217.113663718
Hyderabad,Banjara Hills,1,557,1,3,4,34,False,False,False,True,True,False,False,True,Unfurnished,3953785.5638707164
Delhi,Saket,2,1223,2,2,4,0,True,False,True,False,False,True,True,False,Semi-Furnished,18587787.160543784
Hyderabad,Madhapur,2,848,1,3,4,4,True,False,True,True,False,False,True,True,Fully Furnished,7608838.158139388
Hyderabad,Gachibowli,3,1275,3,3,15,17,True,True,True,True,False,True,False,True,Unfurnished,9547470.520762468
Pune,Viman Nagar,2,998,2,4,10,10,True,True,False,True,False,True,True,True,Semi-Furnished,9723242.855477145
Pune,Baner,2,827,1,3,4,22,True,False,False,True,False,True,True,False,Unfurnished,5040797.782768468
Delhi,Vasant Kunj,4,2062,3,19,40,17,True,True,True,True,True,False,False,True,Semi-Furnished,29762576.899801116
Hyderabad,Kukatpally,3,2172,3,6,10,11,False,True,True,True,False,True,True,True,Semi-Furnished,13372753.7657146
Bangalore,Indiranagar,4,2174,3,3,15,5,True,True,True,True,False,True,True,True,Semi-Furnished,28834311.159923974
Pune,Kothrud,3,1340,1,2,4,15,True,False,False,True,True,False,True,True,Fully Furnished,12849776.5085723
Mumbai,Andheri,2,952,1,15,15,5,True,True,True,True,False,True,False,True,Unfurnished,17386920.699202348
Delhi,Dwarka,1,575,1,2,15,11,False,True,True,True,True,False,True,True,Unfurnished,6001725.585567739
Mumbai,Powai,2,666,2,5,10,4,True,True,True,True,False,True,False,True,Semi-Furnished,15175832.907050839
Pune,Viman Nagar,1,557,1,3,15,0,False,True,False,True,True,False,True,True,Semi-Furnished,5320057.451270425
Hyderabad,Banjara Hills,2,1051,1,4,10,15,True,True,True,True,True,False,False,True,Unfurnished,10188901.35541041
Delhi,Rohini,3,1101,4,3,10,0,True,True,False,True,False,False,False,False,Fully Furnished,10617666.58904601
Bangalore,Koramangala,2,827,1,6,15,18,True,True,True,True,True,False,True,True,Semi-Furnished,9005890.371486485
Mumbai,Andheri,3,1426,3,9,10,16,True,True,True,True,True,False,False,True,Unfurnished,24605965.246153876
Delhi,Dwarka,3,858,2,1,15,14,True,True,True,True,False,False,True,True,Unfurnished,9277641.680915833
Bangalore,HSR Layout,2,959,2,15,25,10,False,True,True,True,False,False,False,True,Unfurnished,8829215.3991259
Hyderabad,Kukatpally,2,1017,1,4,15,19,False,True,False,True,False,False,True,True,Semi-Furnished,5359080.847029409
Bangalore,Indiranagar,2,1050,1,25,25,14,True,True,True,True,False,True,True,True,Unfurnished,12565115.83813942
Hyderabad,Banjara Hills,2,1078,1,4,4,12,True,True,False,True,True,True,False,True,Semi-Furnished,12218923.555384807
Hyderabad,Madhapur,2,1415,1,22,25,17,True,True,True,True,True,False,True,True,Semi-Furnished,12669326.166636687
Mumbai,Powai,4,1480,3,13,15,0,True,True,True,True,True,False,True,True,Fully Furnished,40830029.80460983
Bangalore,HSR Layout,4,2324,3,7,15,10,True,True,True,True,False,False,False,True,Semi-Furnished,26678259.299201146
Bangalore,Koramangala,2,1165,1,10,15,11,True,True,True,True,False,True,True,False,Semi-Furnished,13359262.408616751
Mumbai,Andheri,4,2885,4,8,40,14,True,True,False,True,False,True,True,True,Unfurnished,48702522.60473782
Pune,Viman Nagar,2,1067,1,8,10,15,True,True,True,True,True,True,True,True,Fully Furnished,11397806.497593947
Bangalore,Koramangala,2,1454,1,38,40,13,True,True,True,True,True,True,False,False,Semi-Furnished,18390501.30649774
Pune,Baner,2,1166,1,6,15,10,True,True,True,False,True,False,True,True,Fully Furnished,10500036.849080203
Mumbai,Bandra,2,904,1,8,25,16,True,True,True,True,True,False,False,False,Semi-Furnished,25051162.67464914
Mumbai,Bandra,2,946,1,1,10,6,True,True,False,True,False,False,False,False,Unfurnished,23892531.70970144
Mumbai,Andheri,2,1075,2,5,15,17,False,True,True,True,True,False,False,True,Semi-Furnished,18346921.02617745
Mumbai,Bandra,1,541,1,9,10,3,False,True,True,True,False,False,True,False,Fully Furnished,15125949.722752506
Hyderabad,Banjara Hills,2,751,2,37,40,16,True,True,True,False,False,False,True,False,Semi-Furnished,8071978.549108897
Bangalore,Whitefield,3,1796,2,7,15,12,False,True,True,True,False,False,False,True,Semi-Furnished,15107917.079018403
Mumbai,Powai,1,387,1,2,10,10,True,True,False,True,False,True,True,False,Semi-Furnished,8994713.820066728
Delhi,Saket,2,1021,2,11,15,13,True,True,True,True,True,True,True,True,Unfurnished,15089201.354055522
Pune,Viman Nagar,2,1044,2,3,4,0,True,False,True,True,True,False,False,True,Unfurnished,10737524.740891436
Hyderabad,Banjara Hills,2,1318,1,13,25,2,True,True,True,True,True,False,True,True,Semi-Furnished,18473237.71712137
Bangalore,Whitefield,2,974,3,3,10,14,True,True,True,True,True,True,True,True,Semi-Furnished,8646148.635619624
Bangalore,HSR Layout,1,484,1,7,10,1,True,True,True,True,True,False,False,False,Unfurnished,5498087.667583353
Delhi,Vasant Kunj,2,669,1,4,4,15,False,True,True,True,True,True,True,False,Semi-Furnished,9334986.184488239
Mumbai,Andheri,2,932,2,11,15,7,True,True,True,False,True,False,False,True,Fully Furnished,18055531.474418104
Pune,Baner,1,349,1,5,10,0,False,True,True,True,False,False,True,True,Fully Furnished,3043985.738845249
Pune,Kothrud,3,1530,3,9,10,24,True,True,True,True,False,True,False,True,Semi-Furnished,10411049.112825824
Pune,Viman Nagar,4,3063,3,1,10,14,True,True,True,True,False,True,True,True,Semi-Furnished,30431286.682552658
Hyderabad,Gachibowli,2,946,1,1,4,30,True,False,True,True,False,True,True,True,Semi-Furnished,5483751.543066254
Delhi,Saket,1,505,1,8,15,15,True,True,True,True,False,False,False,True,Fully Furnished,7844156.550486882
Bangalore,Whitefield,2,885,1,7,10,9,False,True,True,True,False,False,True,True,Unfurnished,7425082.529296609
Hyderabad,Kukatpally,2,891,2,4,15,0,True,True,True,True,False,False,True,True,Unfurnished,6172475.373855554
Pune,Viman Nagar,2,1249,1,10,15,7,True,True,True,True,False,False,False,True,Semi-Furnished,12949244.023187993
Delhi,Dwarka,2,925,1,3,4,14,True,False,True,True,True,True,False,True,Semi-Furnished,9995257.361440182
Bangalore,Whitefield,2,777,2,3,4,17,False,False,False,False,True,True,True,True,Semi-Furnished,5892971.14288681
Pune,Baner,2,1254,1,16,25,4,True,True,True,True,True,True,True,True,Semi-Furnished,11775128.597765177
Pune,Kothrud,2,895,2,9,10,0,False,True,True,True,False,False,False,True,Fully Furnished,8025831.465098064
Bangalore,Indiranagar,3,1813,3,3,4,2,True,False,True,False,False,True,False,True,Semi-Furnished,28427310.334401436
Hyderabad,Kukatpally,2,927,2,2,4,1,False,False,True,True,True,True,False,True,Semi-Furnished,6545120.699427164
Hyderabad,Banjara Hills,1,561,1,14,25,24,False,False,False,True,False,True,False,False,Semi-Furnished,5693670.396032462
Pune,Baner,1,447,1,11,15,4,False,True,True,True,True,False,True,False,Semi-Furnished,3712932.682536466
Pune,Viman Nagar,2,718,2,24,25,0,True,False,True,True,False,False,True,False,Fully Furnished,7866334.784420262
Pune,Viman Nagar,2,583,2,9,10,11,True,True,True,True,False,True,True,True,Semi-Furnished,5869742.815686392
Mumbai,Andheri,2,980,2,4,4,9,True,False,True,True,True,False,True,True,Unfurnished,18866319.930183712
Delhi,Vasant Kunj,1,463,1,12,15,12,False,True,True,True,True,False,True,True,Semi-Furnished,7067881.889201856
Mumbai,Bandra,3,1086,2,14,25,6,True,True,True,True,False,True,True,True,Semi-Furnished,35069638.34310501
Bangalore,Whitefield,1,501,1,10,15,5,False,True,True,True,True,False,False,False,Unfurnished,3976446.780157997
Mumbai,Andheri,3,1366,2,7,15,14,True,True,True,True,False,True,False,True,Unfurnished,24058199.303769648
Mumbai,Powai,2,1205,2,4,15,12,True,True,True,True,False,False,True,True,Semi-Furnished,25645534.30927484
Hyderabad,Banjara Hills,5,4786,4,9,40,14,True,True,True,True,True,False,False,True,Semi-Furnished,57658100.76199911
Mumbai,Powai,2,631,1,26,40,5,True,True,True,True,False,True,False,True,Unfurnished,13718672.299037408
Delhi,Dwarka,2,1005,1,3,10,11,True,True,True,True,False,True,False,True,Fully Furnished,12425685.433937257
Mumbai,Andheri,1,438,1,8,10,2,False,True,True,True,True,True,True,True,Semi-Furnished,9340978.297286343
Delhi,Rohini,2,729,2,3,4,0,True,True,False,True,True,False,True,False,Semi-Furnished,7422688.378905247
Pune,Baner,2,1098,2,2,4,3,True,True,True,True,False,True,False,True,Fully Furnished,9177940.433331292
Bangalore,Koramangala,2,1140,2,3,10,0,True,False,True,True,False,False,True,True,Fully Furnished,14907626.50589801
Delhi,Rohini,3,2368,2,2,15,19,True,True,True,True,False,False,True,True,Unfurnished,17085868.168337878
Delhi,Rohini,1,429,1,6,10,7,True,True,True,True,True,False,True,True,Unfurnished,3993596.2132543786
Hyderabad,Gachibowli,2,874,2,2,40,15,True,True,True,True,False,True,False,False,Semi-Furnished,7029452.87118622
Mumbai,Andheri,2,887,1,8,10,17,False,False,True,True,True,True,False,True,Fully Furnished,16585201.577895034
Pune,Kothrud,2,854,1,11,15,9,False,True,True,True,False,True,True,True,Fully Furnished,7376721.122801366
Delhi,Rohini,2,1124,2,4,10,10,True,True,True,True,True,True,True,True,Semi-Furnished,11428131.299645973
Pune,Viman Nagar,2,1111,2,3,25,16,True,True,True,True,True,False,True,True,Unfurnished,8927269.658553792
Delhi,Saket,2,1091,1,5,15,9,False,True,False,True,True,False,True,True,Semi-Furnished,16948296.87864958
Mumbai,Bandra,1,542,1,8,25,12,True,True,True,True,False,False,True,False,Unfurnished,14879774.418220196
Mumbai,Andheri,4,1861,4,3,10,8,True,True,True,True,False,True,False,True,Semi-Furnished,39351746.28569693
Pune,Kothrud,2,992,2,6,10,10,True,True,True,True,True,False,True,True,Semi-Furnished,8412165.2831042
Hyderabad,Kukatpally,1,502,1,3,10,14,False,True,True,True,False,False,True,True,Semi-Furnished,2791402.9968959773
Pune,Baner,2,1044,1,6,15,20,True,True,True,True,False,False,True,False,Semi-Furnished,6536708.00482366
Hyderabad,Gachibowli,4,2052,4,2,4,0,True,False,False,True,False,True,False,True,Semi-Furnished,19724622.24779967
Bangalore,Whitefield,2,1206,1,6,10,12,False,True,True,False,True,False,True,False,Fully Furnished,10288540.856465299
Pune,Viman Nagar,2,1177,2,1,4,10,True,True,True,True,False,True,True,True,Fully Furnished,12590394.749835765
Delhi,Dwarka,1,448,1,15,15,28,True,True,True,True,True,False,False,True,Semi-Furnished,4516893.220285775
Delhi,Vasant Kunj,4,2318,3,7,15,0,True,False,True,True,False,False,False,True,Unfurnished,39517301.40494883
Hyderabad,Gachibowli,2,915,1,5,15,0,True,True,False,False,True,False,False,True,Semi-Furnished,7951919.620237811
Hyderabad,Gachibowli,3,1324,2,4,4,0,True,False,True,False,True,False,True,True,Semi-Furnished,12401412.192389216
Delhi,Saket,1,598,1,2,10,9,True,True,True,True,True,False,True,True,Fully Furnished,9543438.640501259
Delhi,Saket,1,567,1,10,10,22,False,True,True,True,False,True,True,False,Unfurnished,6584759.57280903
Bangalore,HSR Layout,2,872,1,1,4,5,True,False,False,True,True,False,False,True,Unfurnished,10026828.225033058
Delhi,Vasant Kunj,4,2222,3,9,10,8,True,True,True,True,True,True,False,False,Unfurnished,38241508.06939868
Delhi,Dwarka,2,1284,1,10,10,3,True,True,True,True,False,False,True,True,Semi-Furnished,16639833.345085308
Delhi,Dwarka,3,1741,2,6,10,4,False,True,True,True,True,True,True,True,Semi-Furnished,21367208.821699694
Mumbai,Bandra,3,2064,3,14,25,5,False,True,True,True,False,False,False,False,Semi-Furnished,61588177.52111994
Bangalore,HSR Layout,2,922,2,1,10,18,True,True,True,True,False,True,False,True,Fully Furnished,9789173.957622986
Bangalore,Whitefield,1,482,1,7,10,0,True,True,True,True,True,False,False,True,Semi-Furnished,5167142.73465954
Hyderabad,Madhapur,3,1380,2,15,15,9,False,True,True,True,True,False,True,True,Semi-Furnished,11350002.265096467
Mumbai,Bandra,2,896,2,3,4,9,False,False,False,True,False,False,True,True,Semi-Furnished,23605076.597332682
Hyderabad,Kukatpally,1,618,1,11,25,12,False,True,True,True,True,True,False,True,Fully Furnished,4238344.8014493575
Mumbai,Andheri,1,568,1,29,40,14,False,True,True,True,True,False,False,True,Semi-Furnished,10841579.058382602
Hyderabad,Madhapur,3,1492,3,3,15,13,True,True,True,True,True,False,True,False,Unfurnished,12792396.673370821
Mumbai,Andheri,1,582,1,3,4,18,False,True,True,True,False,True,True,True,Semi-Furnished,9820021.871094188
Bangalore,HSR Layout,2,1233,1,3,10,13,False,True,True,True,True,True,False,True,Unfurnished,13165055.790250717
Bangalore,Whitefield,3,1549,3,7,10,19,True,True,False,True,True,True,True,False,Unfurnished,11688581.584356671
Hyderabad,Madhapur,3,1354,3,5,15,13,True,True,True,True,True,False,False,True,Unfurnished,11075334.201722464
Hyderabad,Madhapur,2,1038,2,5,15,0,True,True,True,False,False,False,True,True,Fully Furnished,10824522.314810213
Delhi,Vasant Kunj,1,574,1,2,25,11,False,True,True,True,False,False,False,False,Unfurnished,7088808.653003234
Pune,Baner,2,1049,2,2,4,9,True,False,True,True,True,False,True,True,Unfurnished,8333036.256481035
Hyderabad,Gachibowli,2,1055,2,5,10,13,True,True,False,False,False,False,True,True,Fully Furnished,7860953.900599093
Pune,Viman Nagar,2,1214,1,8,15,11,False,True,False,True,False,True,False,True,Fully Furnished,11424277.032375172
Pune,Viman Nagar,2,859,1,5,25,11,True,True,True,True,False,False,True,True,Semi-Furnished,8454589.205741337
Pune,Viman Nagar,3,1432,3,1,4,22,True,True,True,True,False,False,False,True,Semi-Furnished,11824988.06869301
